CourseID,PrerequisiteID
ATMS402,ATMS305
ATMS404,MATH241
ATMS405,ATMS301
ATMS405,ATMS302
ATMS405,ATMS304
ATMS405,MATH285
ATMS406,ATMS301
ATMS406,ATMS302
ATMS406,MATH285
ATMS407,ATMS301
ATMS407,ATMS302
ATMS407,ATMS305
ATMS410,MATH241
ATMS411,MATH285
ATMS411,PHYS212
ATMS413,ATMS313
ATMS420,CHEM102
ATMS420,PHYS211
ATMS420,MATH241
ATMS423,ATMS201
ATMS424,ATMS301
ATMS424,ATMS302
ATMS502,MATH285
ATMS514,ATMS500
ATMS514,MATH241
ATMS514,PHYS211
ATMS521,ATMS517
ATMS521,ATMS520
ATMS523,ATMS517
BADM211,BADM210
BADM211,CS105
BADM311,BADM310
BADM312,BADM310
BADM313,BADM310
BADM321,BADM320
BADM322,BADM320
BADM323,BADM320
BADM324,BADM320
BADM325,BADM320
BADM326,BADM320
BADM327,BADM320
BADM329,BADM320
BADM330,BADM320
BADM333,BADM332
BADM336,BADM335
BADM358,BADM352
BADM361,BADM210
BADM361,BADM211
BADM362,BADM211
BADM371,BADM353
BADM372,BADM350
BADM373,BADM211
BADM374,ECON203
BADM374,BADM210
BADM382,BADM320
BADM383,BADM380
BADM420,BADM320
BADM446,BADM346
BADM458,BADM350
BADM460,BADM367
BADM461,BADM366
BADM461,BADM367
BADM461,BADM460
BADM514,BADM508
BADM533,BADM532
BADM544,BADM509
BADM544,BADM520
BADM544,BADM567
BADM544,FIN520
BADM564,BADM567
BADM564,MBA502
BASQ402,BASQ401
BCOG458,PSYC224
BCOG458,PSYC248
BCOG458,PHIL270
BCS102,BCS101
BCS201,BCS102
BCS202,BCS201
BCS302,BCS301
BIOC446,CHEM440
BIOC455,CHEM232
BIOC455,CHEM236
BIOC455,MCB251
BIOC460,MCB354
BIOC460,BIOC455
BIOC492,MCB354
BIOC492,BIOC455
BIOE200,BIOE120
BIOE201,CHEM104
BIOE201,MCB150
BIOE201,PHYS211
BIOE202,BIOE206
BIOE205,MATH285
BIOE206,MCB150
BIOE210,CS101
BIOE210,CS124
BIOE210,MATH231
BIOE302,BIOE205
BIOE302,MCB252
BIOE302,BIOE206
BIOE303,BIOE302
BIOE306,BIOE202
BIOE310,BIOE210
BIOE310,MATH257
BIOE360,BIOE201
BIOE360,MATH285
BIOE400,BIOE302
BIOE400,BIOE303
BIOE400,BIOE414
BIOE400,BIOE415
BIOE404,CS374
BIOE404,BIOE310
BIOE404,BIOE206
BIOE404,BIOE302
BIOE414,BIOE205
BIOE414,ECE205
BIOE414,ECE210
BIOE415,BIOE414
BIOE420,BIOE302
BIOE420,BIOE303
BIOE420,BIOE414
BIOE420,BIOE415
BIOE424,BIOE205
BIOE430,BIOE206
BIOE430,MCB252
BIOE430,MATH285
BIOE432,MATH285
BIOE450,CS101
BIOE450,CS124
BIOE450,CHEM232
BIOE450,CHEM236
BIOE450,MCB150
BIOE450,MATH231
BIOE460,BIOE202
BIOE460,BIOE206
BIOE476,MCB150
BIOE476,BIOE206
BIOE479,BIOE206
BIOE479,CHEM232
BIOE483,BIOE205
BIOE483,BIOE210
BIOE483,ECE380
BIOE483,BIOE380
BIOE484,BIOE485
BIOE486,MATH241
BIOE486,BIOE210
BIOE486,MATH415
BIOE486,BIOE310
BIOE486,ECE310
BIOE486,STAT410
BIOE486,BIOE198
BIOE486,CS101
BIOE486,BIOE483
BIOE486,BIOE485
BIOE487,BIOE476
BIOE504,MATH285
BIOE505,STAT400
BIOE507,BIOE504
BIOE510,BIOE206
BIOE510,CS101
BIOE510,MATH285
BIOE572,BIOE571
BIOE580,BIOE485
BIOE586,BIOE486
BIOE586,BIOE485
BIOE586,BIOE483
BIOE586,BIOE580
BIOE589,BIOE588
BIOE589,BIOE484
BIOE589,BIOE486
BIOE589,BIOE580
BIOP401,MCB354
BIOP401,MCB450
BIOP581,BIOP582
BIOP582,BIOP581
BIOP583,BIOP581
BULG481,RUSS302
BULG482,BULG481
BUS201,BUS101
BUS301,BUS201
BUS302,BUS101
BUS401,BUS301
BUS402,BUS301
CATL402,CATL401
CB467,MCB354
CB467,MCB450
CB514,MCB450
CB551,IB150
CB551,MCB354
CB646,VM607
CDB595,MCB400
CEE201,MATH231
CEE201,CS101
CEE201,CS124
CEE201,MATH257
CEE202,CS101
CEE202,MATH241
CEE300,CHEM104
CEE300,TAM251
CEE310,TAM251
CEE310,CEE202
CEE320,CEE201
CEE320,CS101
CEE330,CHEM104
CEE330,CHEM204
CEE331,TAM211
CEE340,PHYS211
CEE340,PHYS213
CEE340,ME200
CEE340,CEE201
CEE340,IE310
CEE340,CEE202
CEE340,IE300
CEE340,STAT200
CEE350,CEE202
CEE350,CEE201
CEE360,TAM251
CEE380,TAM251
CEE401,CEE300
CEE405,CEE310
CEE406,CEE310
CEE408,CEE310
CEE409,CEE310
CEE410,CEE310
CEE411,CEE310
CEE415,CEE310
CEE416,CEE310
CEE418,CEE310
CEE419,CEE310
CEE420,CEE320
CEE421,CEE320
CEE422,CEE320
CEE433,CEE340
CEE433,CEE350
CEE434,CEE201
CEE434,CEE330
CEE435,CEE330
CEE437,CEE330
CEE437,CEE331
CEE438,CEE202
CEE438,IE300
CEE438,STAT400
CEE440,CEE330
CEE441,CEE331
CEE441,CEE202
CEE442,CEE437
CEE443,CEE330
CEE444,CEE443
CEE444,CHEM360
CEE449,CEE330
CEE450,CEE350
CEE451,CEE331
CEE451,TAM335
CEE452,CEE331
CEE452,TAM335
CEE453,CEE350
CEE457,CEE350
CEE457,CEE331
CEE457,TAM335
CEE458,CEE350
CEE460,CEE360
CEE461,CEE360
CEE462,CEE460
CEE463,CEE461
CEE465,CEE460
CEE467,CEE461
CEE468,CEE461
CEE469,CEE460
CEE469,CEE461
CEE470,CEE360
CEE471,MATH285
CEE471,TAM251
CEE472,CEE360
CEE472,MATH285
CEE472,TAM212
CEE473,CEE202
CEE473,STAT400
CEE473,TAM335
CEE473,CEE360
